plate_number,vehicle_name,seat_count,color_code,is_active
30H-94392,PAJERO,7,#32464D,TRUE
30G-10453,MUX,7,#090964,TRUE
30F-77679,Xpander,7,#D3791D,TRUE
30F-67169,Xpander,7,#499D51,TRUE
30G-91710,Innova,7,#D99098,TRUE
35C-12247,Ford Ranger,7,#0DAFFE,TRUE
30A-24333,Sanatarfe,7,#539075,TRUE
35A-26031,Xpander,7,#301AD6,TRUE
30E-08094,inova,7,#2EF0D6,TRUE
30H-72307,Avenza,7,#480FCF,TRUE
30H-94097,Fortuner,7,#6B10BD,TRUE
29E-02831,Avenza,7,#CBCA96,TRUE
30E-09222,Inova,7,#63A991,TRUE
30E-73459,Pajero sport,7,#6C4222,TRUE
30H-69080,XL7,7,#D9908E,TRUE
30A-99901,eco sport,5,#69614D,TRUE
29B-61166,DCar,9,#E2A1C2,TRUE
29B-12607,Thaco,35,#AB9571,TRUE
